Прилагательное	Словосочетание	Тип связи	MI	logDice	Attribute	Контекст
высокий	высокая оценка	Коллокация	5.47	7.647	Intensity	Его работа получила высокую оценка от комиссии экспертов.
высокий	высокая оценка	Коллокация	5.47	7.647	Intensity	В конце года студенты получили высокую оценка за свои старания.
высокий	высокая скорость	Коллокация	7.22	9.086	Intensity	Высокая скорость интернета позволяет скачивать фильмы за считанные минуты.
высокий	высокая скорость	Коллокация	7.22	9.086	Intensity	Машина на высокой скорости влетела в поворот.
высокий	высокий каблук	Свободное сочетание	9.086	7.294	Dimension	Она предпочла удобные туфли, а не высокий каблук.
высокий	высокий каблук	Свободное сочетание	9.086	7.294	Dimension	Высокий каблук делал её походку более женственной, но неудобной.
высокий	высокий рост	Свободное сочетание	3.985	6.216	Dimension	У него высокий рост, поэтому он всегда выделяется в толпе.
высокий	высокий рост	Свободное сочетание	3.985	6.216	Dimension	Высокий рост отца передался всем его детям.
высокий	высокий уровень	Коллокация	7.693	10.743	Intensity	Для такой работы требуется высокий уровень профессиональной подготовки.
высокий	высокий уровень	Коллокация	7.693	10.743	Intensity	Успех проекта был обеспечен тем, что все работали на очень высокий уровень.
высокий	высокое дерево	Свободное сочетание	3.303	5.327	Dimension	Высокое дерево росло прямо перед окном, загораживая свет.
высокий	высокое дерево	Свободное сочетание	3.303	5.327	Dimension	Мы спрятались от дождя под кроной, которую имело высокое дерево в парке.
глубокий	глубокая древность	Коллокация	11.305	9.792	Intensity	Сказания о богах пришли к нам из глубокая древность.
глубокий	глубокая древность	Коллокация	11.305	9.792	Intensity	Корни этого обычая уходят в глубокую древность.
глубокий	глубокая нора	Свободное сочетание	7.981	4.837	Dimension	Глубокая нора барсука была надежно скрыта корнями старого дерева.
глубокий	глубокая нора	Свободное сочетание	7.981	4.837	Dimension	Лиса спряталась в свою глубокая нора, когда услышала шаги.
глубокий	глубокая признательность	Коллокация	10.718	7.722	Intensity	Нас переполняла глубокая признательность к нашим учителям.
глубокий	глубокая признательность	Коллокация	10.718	7.722	Intensity	Выражаю глубокая признательность всем, кто помогал в организации.
глубокий	глубокая тарелка	Свободное сочетание	8.272	6.9	Dimension	Она налила суп в глубокая тарелка, чтобы он не остыл.
глубокий	глубокая тарелка	Свободное сочетание	8.272	6.9	Dimension	Подай мне, пожалуйста, еще одну глубокая тарелка.
глубокий	глубокий вдох	Коллокация	11.502	8.83	Intensity	Перед прыжком в воду сделай глубокий вдох.
глубокий	глубокий вдох	Коллокация	11.502	8.83	Intensity	Он сделал глубокий вдох, стараясь успокоиться перед выступлением.
глубокий	глубокий котлован	Свободное сочетание	7.541	5.403	Dimension	Рядом с домом образовался глубокий котлован, полный дождевой воды.
глубокий	глубокий котлован	Свободное сочетание	7.541	5.403	Dimension	Строители вырыли глубокий котлован под фундамент здания.
глухой	глухая провинция	Коллокация	8.638	6.55	Intensity	Он мечтал уехать в глухая провинция и жить спокойно.
глухой	глухая провинция	Коллокация	8.638	6.55	Intensity	Это была глухая провинция, где новости появлялись редко.
глухой	глухая тайга	Коллокация	10.467	6.889	Intensity	Глухая тайга тянулась на сотни километров вокруг.
глухой	глухая тайга	Коллокация	10.467	6.889	Intensity	Мы продвигались через глухая тайга, где не было дорог.
глухой	глухое дитя	Свободное сочетание	5.466	4.191	Perception	Специальная школа помогает адаптироваться, если ребенок глухой дитя.
глухой	глухое дитя	Свободное сочетание	5.466	4.191	Perception	Глухое дитя общалось с помощью жестов.
глухой	глухой спортсмен	Свободное сочетание	5.7	4.029	Perception	На соревнованиях выступал глухой спортсмен.
глухой	глухой спортсмен	Свободное сочетание	5.7	4.029	Perception	Даже глухой спортсмен может добиться больших высот.
глухой	глухой стук	Коллокация	10.112	6.64	Intensity	Он услышал глухой стук в дверь и замер.
глухой	глухой стук	Коллокация	10.112	6.64	Intensity	Раздался глухой стук, и дверь захлопнулась.
глухой	глухой учащийся	Свободное сочетание	6.2	4.642	Perception	Для педагога важно понимать, как учится глухой учащийся.
глухой	глухой учащийся	Свободное сочетание	6.2	4.642	Perception	Глухой учащийся сидел за первой партой.
горький	горькие слёзы	Коллокация	9.737	7.531	Intensity	Горькие слёзы катились по её щекам.
горький	горькие слёзы	Коллокация	9.737	7.531	Intensity	Она проливала горькие слёзы из-за несправедливости.
горький	горький пьяница	Коллокация	12.125	8.0	Intensity	Этот горький пьяница постоянно шатался у магазина.
горький	горький пьяница	Коллокация	12.125	8.0	Intensity	Он стал настоящий горький пьяница после потери работы.
горький	горькое вещество	Свободное сочетание	5.795	4.045	Perception	У растения было горькое вещество в составе листьев.
горький	горькое вещество	Свободное сочетание	5.795	4.045	Perception	Это горькое вещество используется в промышленности как добавка.
горький	горькое лекарство	Свободное сочетание	6.787	4.848	Perception	Пришлось выпить это горькое лекарство, чтобы поправиться.
горький	горькое лекарство	Свободное сочетание	6.787	4.848	Perception	Врач прописал горькое лекарство от кашля.
горький	горькое пиво	Свободное сочетание	6.441	4.369	Perception	На вкус это горькое пиво было на любителя.
горький	горькое пиво	Свободное сочетание	6.441	4.369	Perception	Оно пил горькое пиво, сидя в углу бара.
горький	горькое разочарование	Коллокация	9.694	7.011	Intensity	Такой результат принес всем только горькое разочарование.
горький	горькое разочарование	Коллокация	9.694	7.011	Intensity	Его ждало горькое разочарование, когда проект закрыли.
горячий	горячая клавиша	Коллокация	9.213	8.008	Emotion	Горячая клавиша помогает сэкономить время в работе.
горячий	горячая клавиша	Коллокация	9.213	8.008	Emotion	Используй эту горячая клавиша для быстрой вставки текста.
горячий	горячая сковорода	Свободное сочетание	7.458	5.69	Temperature	Горячая сковорода стояла на плите, шипя маслом.
горячий	горячая сковорода	Свободное сочетание	7.458	5.69	Temperature	Осторожно, горячая сковорода может обжечь руки.
горячий	горячая точка	Коллокация	5.72	6.787	Emotion	Он часто бывал в командировках в горячая точка.
горячий	горячая точка	Коллокация	5.72	6.787	Emotion	Регион снова стал горячая точка на карте мира.
горячий	горячий след	Коллокация	7.477	7.371	Emotion	Они шли по горячий след, пока он не остыл.
горячий	горячий след	Коллокация	7.477	7.371	Emotion	Полиция вышла на горячий след преступника.
горячий	горячий суп	Свободное сочетание	6.174	5.436	Temperature	Мы ели горячий суп, согреваясь после прогулки.
горячий	горячий суп	Свободное сочетание	6.174	5.436	Temperature	Горячий суп был очень кстати в такой мороз.
горячий	горячий ужин	Свободное сочетание	5.229	4.568	Temperature	Горячий ужин после тяжелого дня — лучшее завершение вечера.
горячий	горячий ужин	Свободное сочетание	5.229	4.568	Temperature	Дома нас ждал горячий ужин и уют.
крупный	крупная сделка	Коллокация	5.786	6.807	Intensity	Была заключена крупная сделка между двумя банками.
крупный	крупная сделка	Коллокация	5.786	6.807	Intensity	Такая крупная сделка случается раз в жизни.
крупный	крупный игрок	Коллокация	6.325	7.19	Intensity	Компания стала настоящий крупный игрок на рынке нефти.
крупный	крупный игрок	Коллокация	6.325	7.19	Intensity	На аукционе выступал крупный игрок из Европы.
крупный	крупный камень	Свободное сочетание	4.477	5.936	Dimension	Крупный камень упал со скалы.
крупный	крупный камень	Свободное сочетание	4.477	5.936	Dimension	На дороге лежал крупный камень, преграждая путь.
крупный	крупный объект	Свободное сочетание	4.271	6.4	Dimension	Этот крупный объект занимал все пространство в центре.
крупный	крупный объект	Свободное сочетание	4.271	6.4	Dimension	Мы увидели крупный объект в небе, похожий на спутник.
крупный	крупный плод	Свободное сочетание	5.217	5.933	Dimension	На ветке висел крупный плод, готовый к сбору.
крупный	крупный плод	Свободное сочетание	5.217	5.933	Dimension	Крупный плод был очень сочным.
крупный	крупный производитель	Коллокация	5.199	7.029	Intensity	Крупный производитель электроники открыл новый магазин.
крупный	крупный производитель	Коллокация	5.199	7.029	Intensity	Этот завод — крупнейший крупный производитель стали.
мягкий	мягкая кровать	Свободное сочетание	4.279	4.143	Texture	После похода мягкая кровать казалась раем.
мягкий	мягкая кровать	Свободное сочетание	4.279	4.143	Texture	Мягкая кровать ждала меня в номере отеля.
мягкий	мягкая химчистка	Коллокация	9.111	6.679	Emotion	Нужна мягкая химчистка для деликатных тканей.
мягкий	мягкая химчистка	Коллокация	9.111	6.679	Emotion	Эта мягкая химчистка бережно относится к одежде.
мягкий	мягкий климат	Коллокация	8.421	8.402	Emotion	Мягкий климат курорта привлекал туристов.
мягкий	мягкий климат	Коллокация	8.421	8.402	Emotion	Здесь мягкий климат, поэтому растения цветут круглый год.
мягкий	мягкий матрас	Свободное сочетание	6.613	5.655	Texture	Я люблю спать на кровать, где есть мягкий матрас.
мягкий	мягкий матрас	Свободное сочетание	6.613	5.655	Texture	Мягкий матрас позволяет хорошо выспаться.
мягкий	мягкий песок	Свободное сочетание	4.546	4.794	Texture	На пляже был мягкий песок, приятный для ног.
мягкий	мягкий песок	Свободное сочетание	4.546	4.794	Texture	Мы шли по мягкий песок вдоль берега.
мягкий	мягкий свет	Коллокация	5.016	6.092	Emotion	Мягкий свет лампы создавал атмосферу уюта.
мягкий	мягкий свет	Коллокация	5.016	6.092	Emotion	Мягкий свет заката заливал всю комнату.
острый	острая боль	Коллокация	7.694	8.119	Intensity	Острая боль пронзила живот, и он согнулся пополам.
острый	острая боль	Коллокация	7.694	8.119	Intensity	Острая боль быстро прошла после укола.
острый	острое блюдо	Коллокация	6.059	6.36	Intensity	Я не люблю острое блюдо, так как не ем специи.
острый	острое блюдо	Коллокация	6.059	6.36	Intensity	Это было острое блюдо тайской кухни.
острый	острый дефицит	Коллокация	8.004	7.173	Intensity	В стране ощущается острый дефицит квалифицированных кадров.
острый	острый дефицит	Коллокация	8.004	7.173	Intensity	Острый дефицит бюджета заставил урезать расходы.
острый	острый зуб	Свободное сочетание	5.803	6.255	Texture	У акулы был острый зуб, который легко разрезал плоть.
острый	острый зуб	Свободное сочетание	5.803	6.255	Texture	Острый зуб пилы быстро перепилил бревна.
острый	острый крючок	Свободное сочетание	5.948	4.608	Texture	Острый крючок зацепился за одежду.
острый	острый крючок	Свободное сочетание	5.948	4.608	Texture	Рыбак прикрепил острый крючок к леске.
острый	острый осколок	Свободное сочетание	7.9	5.308	Texture	Острый осколок камня поцарапал ботинок.
острый	острый осколок	Свободное сочетание	7.9	5.308	Texture	Я случайно наступил на острый осколок стекла.
пустой	пустая банка	Свободное сочетание	6.977	5.78	Dimension	На столе стояла пустая банка из-под варенья.
пустой	пустая банка	Свободное сочетание	6.977	5.78	Dimension	Я выбросил пустая банка в мусорное ведро.
пустой	пустая площадь	Свободное сочетание	2.946	2.375	Dimension	Мы вышли на пустая площадь, где раньше был шумный рынок.
пустой	пустая площадь	Свободное сочетание	2.946	2.375	Dimension	Ночью пустая площадь выглядела мрачно и неуютно.
пустой	пустая трата	Коллокация	12.448	10.357	Evaluation	Это была пустая трата времени, мы ни до чего не договорились.
пустой	пустая трата	Коллокация	12.448	10.357	Evaluation	На мой взгляд, такие споры — пустая трата сил.
пустой	пустая формальность	Коллокация	10.366	6.956	Evaluation	Это была пустая формальность, которую пришлось пройти ради подписи.
пустой	пустая формальность	Коллокация	10.366	6.956	Evaluation	Заполнение этой анкеты — лишь пустая формальность.
пустой	пустое обещание	Коллокация	9.997	8.018	Evaluation	Его пустое обещание так и не было выполнено.
пустой	пустое обещание	Коллокация	9.997	8.018	Evaluation	Не верь ему, это очередное пустое обещание.
пустой	пустой вагон	Свободное сочетание	6.445	4.782	Dimension	Мы зашли в пустой вагон, так как во всем поезде не было людей.
пустой	пустой вагон	Свободное сочетание	6.445	4.782	Dimension	В конце состава стоял совершенно пустой вагон.
светлый	светлая гостиная	Свободное сочетание	5.623	4.994	Perception	В доме была большая светлая гостиная с окнами в сад.
светлый	светлая гостиная	Свободное сочетание	5.623	4.994	Perception	Мы обустроили светлая гостиная в пастельных тонах.
светлый	светлая окраска	Свободное сочетание	6.234	5.523	Perception	У этой породы кошек светлая окраска меха.
светлый	светлая окраска	Свободное сочетание	6.234	5.523	Perception	Светлая окраска крыльев помогает бабочке маскироваться.
светлый	светлая прядь	Свободное сочетание	8.161	5.941	Perception	Светлая прядь волос сильно выделялась на темном фоне.
светлый	светлая прядь	Свободное сочетание	8.161	5.941	Perception	Её светлая прядь выбилась из-под шапки.
светлый	светлое будущее	Коллокация	7.9	8.184	Emotion	Они верили в светлое будущее и работали не покладая рук.
светлый	светлое будущее	Коллокация	7.9	8.184	Emotion	Светлое будущее кажется недостижимым, но мы к нему стремимся.
светлый	светлое чувство	Коллокация	6.163	6.467	Emotion	В его сердце осталось лишь светлое чувство к ней.
светлый	светлое чувство	Коллокация	6.163	6.467	Emotion	Любовь — это светлое чувство, которое дарит надежду.
светлый	светлый праздник	Коллокация	6.68	7.138	Emotion	Мы готовились к этому светлый праздник заранее.
светлый	светлый праздник	Коллокация	6.68	7.138	Emotion	Пасха — это светлый праздник для всех верующих.
сильный	сильная боль	Коллокация	7.282	8.445	Intensity	Она терпела сильная боль, не желая жаловаться.
сильный	сильная боль	Коллокация	7.282	8.445	Intensity	Сильная боль в спине не давала ему нормально ходить.
сильный	сильное крыло	Свободное сочетание	3.793	3.317	Physical Property	У орла было сильное крыло, позволявшее летать высоко.
сильный	сильное крыло	Свободное сочетание	3.793	3.317	Physical Property	Птица расправила сильное крыло и взлетела.
сильный	сильные мышцы	Свободное сочетание	4.139	5.055	Physical Property	Сильные мышцы — это результат ежедневных тренировок.
сильный	сильные мышцы	Свободное сочетание	4.139	5.055	Physical Property	Спортсмен тренировался, чтобы иметь сильные мышцы ног.
сильный	сильный зуд	Коллокация	8.498	6.617	Intensity	Сильный зуд заставил меня расчесать руку до крови.
сильный	сильный зуд	Коллокация	8.498	6.617	Intensity	Этот крем быстро снимает сильный зуд от укусов насекомых.
сильный	сильный мужчина	Свободное сочетание	4.349	5.893	Physical Property	На арену вышел сильный мужчина, готовый к состязанию.
сильный	сильный мужчина	Свободное сочетание	4.349	5.893	Physical Property	Рядом стоял сильный мужчина с чемоданом.
сильный	сильный стресс	Коллокация	6.907	6.872	Intensity	Сильный стресс может привести к серьезным проблемам со здоровьем.
сильный	сильный стресс	Коллокация	6.907	6.872	Intensity	После экзаменов он пережил сильный стресс.
сладкий	сладкая парочка	Коллокация	10.19	7.466	Evaluation	Они выглядели как сладкая парочка из старого кино.
сладкий	сладкая парочка	Коллокация	10.19	7.466	Evaluation	Смотри, вон идет та самая сладкая парочка.
сладкий	сладкая тыква	Свободное сочетание	8.078	5.8	Perception	На огороде выросла огромная сладкая тыква.
сладкий	сладкая тыква	Свободное сочетание	8.078	5.8	Perception	Из этой тыквы получается очень сладкая тыква в запеченном виде.
сладкий	сладкий аромат	Коллокация	7.895	6.708	Evaluation	Воздух был наполнен сладкий аромат выпечки.
сладкий	сладкий аромат	Коллокация	7.895	6.708	Evaluation	По всему саду разливался сладкий аромат цветов.
сладкий	сладкий продукт	Свободное сочетание	5.572	4.892	Perception	Сахар — это основной сладкий продукт, который мы покупаем.
сладкий	сладкий продукт	Свободное сочетание	5.572	4.892	Perception	Этот сладкий продукт вреден для зубов в больших количествах.
сладкий	сладкий сон	Коллокация	8.012	7.165	Evaluation	Мне снился такой сладкий сон, что я не хотел просыпаться.
сладкий	сладкий сон	Коллокация	8.012	7.165	Evaluation	Его прервал сладкий сон, когда зазвонил будильник.
сладкий	сладкое яблоко	Свободное сочетание	7.928	6.599	Perception	Она съела сочное сладкое яблоко прямо с дерева.
сладкий	сладкое яблоко	Свободное сочетание	7.928	6.599	Perception	Мама купила самое сладкое яблоко для пирога.
слепой	слепая вера	Коллокация	9.729	7.216	Evaluation	Слепая вера в успех часто мешает трезво оценить риски.
слепой	слепая вера	Коллокация	9.729	7.216	Evaluation	Его слепая вера в людей привела к тому, что его обманули.
слепой	слепая ярость	Коллокация	9.823	6.272	Evaluation	Слепая ярость накрыла его, как только он услышал оскорбление.
слепой	слепая ярость	Коллокация	9.823	6.272	Evaluation	В состоянии слепой ярости он разбил телефон о стену.
слепой	слепое копирование	Коллокация	10.069	7.212	Evaluation	Успех требует творчества, а не просто слепое копирование чужих идей.
слепой	слепое копирование	Коллокация	10.069	7.212	Evaluation	Слепое копирование западных моделей бизнеса не всегда приносит результат.
слепой	слепой глаз	Свободное сочетание	5.822	3.431	Physical Property	Старик прикрыл свой слепой глаз темной повязкой.
слепой	слепой глаз	Свободное сочетание	5.822	3.431	Physical Property	Слепой глаз не реагировал на яркий свет прожектора.
слепой	слепой человек	Свободное сочетание	4.294	1.936	Physical Property	По улице шел слепой человек, опираясь на белую трость.
слепой	слепой человек	Свободное сочетание	4.294	1.936	Physical Property	Слепой человек нуждался в помощи, чтобы перейти оживленную дорогу.
слепой	слепой щенок	Свободное сочетание	8.424	5.619	Physical Property	Маленький слепой щенок жалобно скулил в углу коробки.
слепой	слепой щенок	Свободное сочетание	8.424	5.619	Physical Property	В подвале мы нашли брошенный выводок, где был один слепой щенок.
старый	старая гвардия	Коллокация	7.203	4.639	Evaluation	Старая гвардия всегда знала, как решать сложные задачи.
старый	старая гвардия	Коллокация	7.203	4.639	Evaluation	Это были люди из старая гвардия, преданные делу.
старый	старая одежда	Свободное сочетание	3.341	4.78	Time	В шкафу лежала старая одежда, которую жалко было выбросить.
старый	старая одежда	Свободное сочетание	3.341	4.78	Time	Старая одежда была собрана и отдана на благотворительность.
старый	старая рама	Свободное сочетание	5.283	5.183	Time	Старая рама прогнила и нуждалась в замене.
старый	старая рама	Свободное сочетание	5.283	5.183	Time	Мы покрасили в белый цвет старая рама окна.
старый	старое название	Свободное сочетание	3.237	4.943	Time	Город вернул себе свое старое название.
старый	старое название	Свободное сочетание	3.237	4.943	Time	Старое название улицы до сих пор помнят старожилы.
старый	старый знакомый	Коллокация	5.539	6.608	Evaluation	Это был мой старый знакомый, которого я не видел десять лет.
старый	старый знакомый	Коллокация	5.539	6.608	Evaluation	Мы встретили старый знакомый на вокзале.
старый	старый свет	Коллокация	5.134	6.736	Evaluation	Путешествие в Старый Свет стало мечтой всей его жизни.
старый	старый свет	Коллокация	5.134	6.736	Evaluation	Многие традиции пришли в Америку из Старый Свет.
твердый	твердая пятерка	Коллокация	9.082	6.805	Evaluation	За ответ он получил твердая пятерка.
твердый	твердая пятерка	Коллокация	9.082	6.805	Evaluation	Это была твердая пятерка, заслуженная честным трудом.
твердый	твердое вещество	Свободное сочетание	6.038	6.297	Texture	Лед — это твердое вещество, состоящее из воды.
твердый	твердое вещество	Свободное сочетание	6.038	6.297	Texture	Это твердое вещество не растворяется в воде.
твердый	твердое намерение	Коллокация	8.421	7.315	Evaluation	Твердое намерение изменить жизнь пришло внезапно.
твердый	твердое намерение	Коллокация	8.421	7.315	Evaluation	Она высказала твердое намерение уволиться.
твердый	твердое убеждение	Коллокация	8.925	7.652	Evaluation	У него было твердое убеждение, что он прав.
твердый	твердое убеждение	Коллокация	8.925	7.652	Evaluation	Твердое убеждение в своей правоте давало силы.
твердый	твердый материал	Свободное сочетание	4.298	4.813	Texture	Нужно выбрать твердый материал для строительства моста.
твердый	твердый материал	Свободное сочетание	4.298	4.813	Texture	Этот твердый материал очень долговечен.
твердый	твердый предмет	Свободное сочетание	5.608	5.862	Texture	Твердый предмет лежал на дне коробки.
твердый	твердый предмет	Свободное сочетание	5.608	5.862	Texture	Он ударился о твердый предмет в темноте.
темный	темная материя	Коллокация	9.675	7.994	Emotion	Астрофизики до сих пор изучают, что такое темная материя.
темный	темная материя	Коллокация	9.675	7.994	Emotion	Темная материя не видна телескопам, но она существует.
темный	темная сила	Коллокация	5.798	6.555	Emotion	Он чувствовал, как темная сила завладевает его разумом.
темный	темная сила	Коллокация	5.798	6.555	Emotion	В сказках всегда побеждает свет, несмотря на темная сила.
темный	темное прошлое	Коллокация	7.002	4.316	Emotion	У него было темное прошлое, о котором он старался не вспоминать.
темный	темное прошлое	Коллокация	7.002	4.316	Emotion	Никто не знал, что скрывает его темное прошлое.
темный	темные брюки	Свободное сочетание	6.869	5.371	Perception	Темные брюки отлично сочетаются с серым пиджаком.
темный	темные брюки	Свободное сочетание	6.869	5.371	Perception	Он надел строгие темные брюки и белую рубашку.
темный	темный пигмент	Свободное сочетание	7.603	5.48	Perception	При добавлении пигмента образуется темный пигмент.
темный	темный пигмент	Свободное сочетание	7.603	5.48	Perception	Темный пигмент придает краске насыщенный цвет.
темный	темный чулан	Свободное сочетание	10.664	4.514	Perception	В темный чулан было страшно заходить без фонаря.
темный	темный чулан	Свободное сочетание	10.664	4.514	Perception	Мы заперли старые вещи в темный чулан под лестницей.
теплый	теплая атмосфера	Коллокация	7.241	7.61	Emotion	В ресторане царила теплая атмосфера, располагающая к отдыху.
теплый	теплая атмосфера	Коллокация	7.241	7.61	Emotion	Теплая атмосфера в коллективе помогает работать эффективнее.
теплый	теплое слово	Коллокация	5.76	7.031	Emotion	Его теплое слово ободрило меня больше, чем все советы.
теплый	теплое слово	Коллокация	5.76	7.031	Emotion	Каждому человеку нужно хотя бы одно теплое слово в трудную минуту.
теплый	теплый ветер	Свободное сочетание	5.053	5.193	Temperature	Теплый ветер принес запах цветущих садов.
теплый	теплый ветер	Свободное сочетание	5.053	5.193	Temperature	После зимы подул долгожданный теплый ветер.
теплый	теплый день	Свободное сочетание	2.623	4.03	Temperature	Мы решили провести этот теплый день на природе.
теплый	теплый день	Свободное сочетание	2.623	4.03	Temperature	Это был последний теплый день перед наступлением осени.
теплый	теплый край	Свободное сочетание	5.18	6.075	Temperature	Мы мечтали переехать в теплый край у моря.
теплый	теплый край	Свободное сочетание	5.18	6.075	Temperature	Птицы осенью улетают в теплый край, чтобы перезимовать.
теплый	теплый оттенок	Коллокация	7.179	7.418	Emotion	Художник выбрал теплый оттенок для изображения заката.
теплый	теплый оттенок	Коллокация	7.179	7.418	Emotion	Этот теплый оттенок стен делает комнату уютнее.
тихий	тихая гавань	Коллокация	11.487	8.347	Emotion	Он нашел свою тихая гавань в этом маленьком городке.
тихий	тихая гавань	Коллокация	11.487	8.347	Emotion	После долгих скитаний это была его тихая гавань.
тихий	тихий звук	Свободное сочетание	6.159	5.586	Perception	Тихий звук музыки успокаивал по вечерам.
